Unnamed: 0,Operator,Network Type,In Out Travelling,State Name,Call Dropped,Satisfactory,Poor Voice Quality,label
230,BSNL,2G,Indoor,Manipur,0.0,100.0,0.0,Excellent
231,BSNL,2G,Indoor,Odisha,13.043478260869565,41.30434782608695,45.65217391304348,Average
232,BSNL,2G,Indoor,Punjab,0.0,42.857142857142854,57.14285714285714,Average
233,BSNL,2G,Indoor,Rajasthan,5.882352941176469,88.23529411764706,5.882352941176469,Excellent
234,BSNL,2G,Indoor,Tamil Nadu,7.5,50.0,42.5,Average
235,BSNL,2G,Indoor,Telangana,1.7948717948717947,92.56410256410255,5.641025641025642,Excellent
236,BSNL,2G,Indoor,Uttar Pradesh,0.0,72.72727272727273,27.27272727272727,Very Good
237,BSNL,2G,Indoor,Uttarakhand,11.764705882352938,17.647058823529417,70.58823529411767,Inadequate
238,BSNL,2G,Indoor,West Bengal,4.545454545454546,48.701298701298704,46.75324675324675,Average
239,BSNL,2G,Outdoor,Andaman and Nicobar Islands,27.27272727272727,63.63636363636363,9.090909090909092,Very Good
240,BSNL,2G,Outdoor,Andhra Pradesh,25.0,50.0,25.0,Average
241,BSNL,2G,Outdoor,Bihar,0.0,33.33333333333333,66.66666666666666,Poor
242,BSNL,2G,Outdoor,Chattisgarh,0.0,0.0,100.0,Inadequate
243,BSNL,2G,Outdoor,Gujarat,0.0,42.857142857142854,57.14285714285714,Average
244,BSNL,2G,Outdoor,Himachal Pradesh,0.0,0.0,100.0,Inadequate
245,BSNL,2G,Outdoor,Jharkhand,0.0,30.303030303030305,69.6969696969697,Poor
246,BSNL,2G,Outdoor,Karnataka,4.205607476635514,91.58878504672896,4.205607476635514,Excellent
247,BSNL,2G,Outdoor,Kerala,6.896551724137932,65.51724137931035,27.58620689655172,Very Good
248,BSNL,2G,Outdoor,Madhya Pradesh,0.0,50.0,50.0,Average
249,BSNL,2G,Outdoor,Maharashtra,0.0,100.0,0.0,Excellent
250,BSNL,2G,Outdoor,Odisha,0.0,66.66666666666666,33.33333333333333,Very Good
251,BSNL,2G,Outdoor,Punjab,0.0,5.0,95.0,Inadequate
252,BSNL,2G,Outdoor,Rajasthan,9.523809523809524,90.4761904761905,0.0,Excellent
253,BSNL,2G,Outdoor,Tamil Nadu,0.0,75.0,25.0,Very Good
254,BSNL,2G,Outdoor,Telangana,4.705882352941177,94.11764705882351,1.1764705882352942,Excellent
255,BSNL,2G,Outdoor,Uttar Pradesh,0.0,100.0,0.0,Excellent
256,BSNL,2G,Outdoor,Uttarakhand,0.0,14.285714285714285,85.71428571428571,Inadequate
257,BSNL,2G,Outdoor,West Bengal,3.669724770642202,7.339449541284404,88.9908256880734,Inadequate
258,BSNL,2G,Travelling,Andaman and Nicobar Islands,25.0,75.0,0.0,Very Good
259,BSNL,2G,Travelling,Andhra Pradesh,9.090909090909092,72.72727272727273,18.181818181818183,Very Good
